repo_name,stars,forks,issues,pull_requests,contributors,language,engagement_score,pr_to_issue_ratio,popularity_tier,contributor_category,is_popular,lang_C,lang_C++,lang_CSS,lang_Dart,lang_Go,lang_HTML,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_PHP,lang_Python,lang_Ruby,lang_Shell,lang_TypeScript,lang_Unknown
garimasingh128/CP-DSA-Cpp-C,25,89,5,0,72,C++,53.6,0.0,low,large_team,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fromgopi/cookbook-api,2,1,5,0,2,Python,1.7,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
iamshaunjp/firebase-auth,329,355,5,9,0,Unknown,271.0,1.8,moderate,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
devongovett/browserify-optional,9,1,5,0,0,JavaScript,4.8,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
marcel-dempers/docker-development-youtube-series,0,0,5,7,21,Go,4.2,1.4,obscure,large_team,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
defuse/elfplayer,10,3,5,0,0,JavaScript,5.9,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vasu-1/CalcHub,49,128,5,7,49,JavaScript,72.7,1.4,low,large_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gabrielfalcao/dead-parrot,16,4,5,0,2,Python,9.6,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
devongovett/atom-stylus,6,5,5,2,2,CoffeeScript,4.9,0.4,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kameshsampath/ansible-collection-kubernetes-spices,0,0,5,0,1,Jinja,0.2,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
trailofbits/censys-ruby,9,3,5,0,3,Ruby,6.0,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
thrau/pymq,21,3,5,0,0,Python,11.4,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aloisdeniel/built_bloc,51,5,5,1,0,Dart,27.0,0.2,low,solo,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
devongovett/browserify-istanbul,50,31,5,2,11,JavaScript,36.5,0.4,low,mid_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EddieHubCommunity/EddieBotUI,11,19,5,0,9,JavaScript,13.0,0.0,low,mid_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rajat2502/GitHub-Battle,13,8,5,1,3,JavaScript,9.5,0.2,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bradtraversy/angularfs,54,44,5,0,0,TypeScript,40.2,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
benawad/apollo-server-react-file-upload,79,34,5,23,2,JavaScript,50.1,4.6,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
whummer/jaxb-facets,27,17,5,2,3,Java,19.2,0.4,low,small_team,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ishita-0112/CODES,4,6,5,0,8,Java,5.4,0.0,obscure,mid_team,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
openfoodfacts/facets-knowledge-panels,1,2,5,4,5,Python,2.1,0.8,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aviaryan/BrainGames,45,11,5,1,0,Python,25.8,0.2,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ak7550/garments-store,0,4,5,0,0,JavaScript,1.2,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
donnemartin/awesome-aws,0,0,5,60,70,Python,14.0,12.0,obscure,large_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
manjurulhoque/android-near-by-places,24,14,5,0,0,Java,16.2,0.0,low,solo,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EddieHubCommunity/hacktoberfest-practice,292,0,4,36,0,Unknown,146.0,9.0,moderate,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
localstack/aws-cdk-local,176,10,4,1,7,JavaScript,92.4,0.25,moderate,mid_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lmgonzalves/brushstroke,81,14,4,1,2,JavaScript,45.1,0.25,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
iamshaunjp/css-grid-layouts,51,23,4,0,0,Unknown,32.4,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rrousselGit/functional_widget,508,42,4,1,13,Dart,269.2,0.25,moderate,mid_team,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vectorized/solady,315,21,4,0,10,Solidity,165.8,0.0,moderate,mid_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mitsuhiko/clicolors-control,19,9,4,2,5,Rust,13.2,0.5,low,small_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
education/hackconviii,15,9,4,0,0,Unknown,10.2,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mitsuhiko/better-panic,332,6,4,0,2,Rust,168.2,0.0,moderate,small_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nikhilkumarsingh/flask-chat-app,41,23,4,0,0,Python,27.4,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
florinpop17/10-projects-10-hours,0,589,4,10,0,JavaScript,176.7,2.5,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anuj-Kumar-Sharma/NewsApp,40,44,4,6,0,Kotlin,33.2,1.5,low,solo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dhananjaym2/android-imagedownloader,0,0,4,0,0,Java,0.0,0.0,obscure,solo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RonLek/ALPR-and-Identification-for-Indian-Vehicles,25,8,4,0,4,Jupyter Notebook,15.7,0.0,low,small_team,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
defuse/backup-verify,9,8,4,0,0,Ruby,6.9,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
keshav-space/safe_notes,2,2,4,0,0,Dart,1.6,0.0,obscure,solo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bradtraversy/bookstore,231,211,4,2,2,HTML,179.2,0.5,moderate,small_team,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
carloscuesta/gitmoji-cli,0,190,4,0,43,JavaScript,65.6,0.0,obscure,large_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YashKumarVerma/all-covid-info-frontend,9,1,4,1,0,JavaScript,4.8,0.25,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
defuse/airgap,26,2,4,0,0,Unknown,13.6,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
btholt/algorithms-exercises,135,374,4,11,3,JavaScript,180.3,2.75,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lmorchard/about-me,3,0,4,0,0,JavaScript,1.5,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LiveOverflow/pwn_docker_example,178,42,4,3,3,Dockerfile,102.2,0.75,moderate,small_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AYIDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,24,7,4,0,2,Java,14.5,0.0,low,small_team,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,128,41,4,1,0,Python,76.3,0.25,moderate,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RonLek/FastV2C-HandNet,8,2,4,0,0,Python,4.6,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,408,254,4,1,0,Jupyter Notebook,280.2,0.25,moderate,solo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
casatwy/CTMediator,0,749,4,1,3,Objective-C,225.3,0.25,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rajdip019/booklee,7,1,4,0,4,JavaScript,4.6,0.0,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ducc/DiscrimFarmer,13,3,4,0,0,Go,7.4,0.0,low,solo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
asweigart/bext,13,2,4,0,2,Python,7.5,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ralexstokes/deposit-verifier,15,7,4,0,3,Python,10.2,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AnkushMalaker/speech-emotion-recognition,5,0,4,0,2,PureBasic,2.9,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mikenikles/ghost-v3-google-cloud-storage,13,7,4,3,2,JavaScript,9.0,0.75,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
yourcelf/afgexplorer,48,6,4,0,2,Python,26.2,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
trailofbits/circuitous-benchmarks,0,0,4,0,0,C++,0.0,0.0,obscure,solo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clueless-Community/Datasets,4,3,4,0,5,JavaScript,3.9,0.0,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ethereum/beacon_chain,196,61,4,1,13,Python,118.9,0.25,moderate,mid_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
openfoodfacts/eu-food-data,8,6,4,0,4,HTML,6.6,0.0,obscure,small_team,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
jonfroehlich/jonfroehlich.github.io,3,0,4,0,0,HTML,1.5,0.0,obscure,solo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WhiteHouse/CIOmanagement,14,28,4,6,15,SCSS,18.4,1.5,low,mid_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0xCaso/defillama-telegram-bot,0,1,4,0,2,JavaScript,0.7,0.0,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ethereum/blake2b-py,5,14,4,3,4,Rust,7.5,0.75,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
openfoodfacts/folksonomy_mobile_experiment,0,0,4,3,3,JavaScript,0.6,0.75,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WhiteHouse/buildmanager,13,15,4,2,4,PHP,11.8,0.5,low,small_team,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
torvalds/test-tlb,501,177,4,4,2,C,304.0,1.0,moderate,small_team,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonfroehlich/HCID521Wi2020,0,0,4,0,0,JavaScript,0.0,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
amacgregor/dot-files,438,318,4,0,0,Vim Script,314.4,0.0,moderate,solo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adrianhajdin/project_google_clone,324,78,4,1,2,JavaScript,185.8,0.25,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jamesbachini/Encryption-VScode,3,2,4,0,2,JavaScript,2.5,0.0,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
antonmedv/jsize,179,12,4,0,4,JavaScript,93.9,0.0,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WhiteHouse/omb_place,49,22,4,1,4,CSS,31.9,0.25,low,small_team,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nikhilkumarsingh/awesome-wikidata-scripts,6,3,4,0,2,Jupyter Notebook,4.3,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adrianhajdin/project_hoobank,469,135,4,1,0,JavaScript,275.0,0.25,moderate,solo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Raz0r/aemscan,158,52,4,0,5,Python,95.6,0.0,moderate,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
xbelanch/OBS4Pi,30,5,4,0,0,Shell,16.5,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
casatwy/HandyAutoLayout,0,253,4,1,4,Objective-C,76.7,0.25,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sagesharp/python-code-of-conduct,2,103,4,0,0,Unknown,31.9,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aloisdeniel/bluff,84,8,3,0,0,Dart,44.4,0.0,low,solo,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97shivank/Hotel-Site-with-Django,5,7,3,0,5,Python,5.6,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja,1.5,4.667,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mrdbourke/m1-machine-learning-test,303,84,3,0,2,Jupyter Notebook,177.1,0.0,moderate,small_team,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
saurabhdaware/blog.saurabhdaware.in,4,0,3,3,0,TypeScript,2.0,1.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
amacgregor/amgr_phx,0,1,3,0,3,CSS,0.9,0.0,obscure,small_team,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mrdbourke/cs329s-ml-deployment-tutorial,513,140,3,0,0,Jupyter Notebook,298.5,0.0,moderate,solo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stong/CVE-2021-3156,431,119,3,0,0,C,251.2,0.0,moderate,solo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ritwickdey/organic-shop,56,36,3,0,2,TypeScript,39.2,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
itaditya/background-check,27,12,3,0,2,JavaScript,17.5,0.0,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ck37/featurerank,1,0,3,0,3,R,1.1,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
torvalds/pesconvert,241,56,3,2,4,C,138.1,0.667,moderate,small_team,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iamshaunjp/firebase-firestore-playlist,274,303,3,4,0,Unknown,227.9,1.333,moderate,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PawanKolhe/calc-2000,1,1,3,0,0,JavaScript,0.8,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tapaswenipathak/Blacklist-By-Words,20,10,3,1,3,JavaScript,13.6,0.333,low,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
localstack/aws-sam-cli-local,17,4,3,1,2,Python,10.1,0.333,low,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jakearchibald/big-web-quiz,109,32,3,3,2,JavaScript,64.5,1.0,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gasteigerjo/dimenet,199,38,3,0,0,Python,110.9,0.0,moderate,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gasteigerjo/turbulent,0,0,3,0,3,C++,0.6,0.0,obscure,small_team,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feross/clipboard-copy,561,40,3,3,5,JavaScript,293.5,1.0,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
clindsey/cookbook,3,0,3,0,0,Ruby,1.5,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ForrestPi/anomalyLocalization,13,1,3,0,0,Python,6.8,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ethereum/beacon-metrics,19,14,3,0,6,Unknown,14.9,0.0,low,mid_team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
emersonsoares/cep-api,98,44,3,0,4,C#,63.0,0.0,low,small_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mscoutermarsh/dotfiles,766,184,3,1,23,Vim Script,442.8,0.333,moderate,large_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AshAman999/Edify,4,0,3,2,2,Dart,2.4,0.667,obscure,small_team,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ethereum/alexandria,6,8,3,0,5,Python,6.4,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lengstrom/codezoo,1,0,3,0,0,JavaScript,0.5,0.0,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sreehari2003/cvshare.io,5,1,3,0,2,TypeScript,3.2,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bradtraversy/bookmarker,157,118,3,1,3,JavaScript,114.5,0.333,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
crnacura/AmbientCanvasBackgrounds,514,112,3,0,0,JavaScript,290.6,0.0,moderate,solo,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bradtraversy/apex-legends-tracker,127,21,3,7,2,Vue,70.2,2.333,moderate,small_team,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MariaEduardaDeAzevedo/centavos-search,7,4,3,0,5,JavaScript,5.7,0.0,obscure,small_team,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MariaEduardaDeAzevedo/detector-de-mascaras,167,23,3,0,3,Python,91.0,0.0,moderate,small_team,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MariaEduardaDeAzevedo/jogo-da-velha,7,3,3,0,2,Python,4.8,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IonicaBizau/anser,50,17,3,0,22,JavaScript,34.5,0.0,low,large_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
defuse/dfcrypt,0,0,3,0,0,C,0.0,0.0,obscure,solo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defuse/gadgetrie,4,0,3,0,0,C,2.0,0.0,obscure,solo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradtraversy/angular60,129,102,3,0,2,JavaScript,95.5,0.0,moderate,small_team,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tyriar/abbr-touch,51,4,3,0,2,HTML,27.1,0.0,low,small_team,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tinchoabbate/slither-scripts,18,15,3,2,0,Python,13.5,0.667,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
smaranjitghose/AppleFoliarAI,7,9,3,0,3,Dockerfile,6.8,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rogeriopvl/Downpy,9,1,3,0,2,Python,5.2,0.0,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
casatwy/ConfigPrivatePod,69,70,3,0,0,Shell,55.5,0.0,low,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
